checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2026-01-02T17:59:34Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2400,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20260102175934/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2026-01-07T01:09:17Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,20000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20260107010917/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2026-01-09T02:21:49Z,es-ct-erc,0029VaEe6Y6FCCoOpegXkQ3h,ok,4300,rounded,,Esquerra Republicana,200,channel,archive,https://web.archive.org/web/20260109022149/https://www.whatsapp.com/channel/0029VaEe6Y6FCCoOpegXkQ3h
2026-01-09T07:07:50Z,pt-ps,0029VbC2MLyC6ZvqoK7nK900,ok,142,exact,,Partido Socialista,200,channel,archive,https://web.archive.org/web/20260109070750/https://www.whatsapp.com/channel/0029VbC2MLyC6ZvqoK7nK900
2026-01-12T18:23:25Z,nl-sgp,0029VaDLxdM7z4kfdsHvfS2K,ok,5800,rounded,,SGP,200,channel,archive,https://web.archive.org/web/20260112182325/https://www.whatsapp.com/channel/0029VaDLxdM7z4kfdsHvfS2K
2026-01-15T15:30:14Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2400,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20260115153014/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2026-01-15T18:04:40Z,it-75-modugno-m5s-modugno,0029VaDZVAU6hENq64FNIq2f,ok,20,exact,,Modugno A 5 Stelle,200,channel,archive,https://web.archive.org/web/20260115180440/https://www.whatsapp.com/channel/0029VaDZVAU6hENq64FNIq2f
2026-01-15T22:16:21Z,it-fi,0029VazVsXCDZ4Le9S1VyK10,ok,14000,rounded,,Forza Italia,200,channel,archive,https://web.archive.org/web/20260115221621/https://www.whatsapp.com/channel/0029VazVsXCDZ4Le9S1VyK10
2026-01-16T08:29:00Z,nl-vvd,0029VaCyQQpC1FuAiUvfWJ3S,ok,4400,rounded,,VVD,200,channel,archive,https://web.archive.org/web/20260116082900/https://www.whatsapp.com/channel/0029VaCyQQpC1FuAiUvfWJ3S
2026-01-18T11:04:33Z,pt-ch,0029VaD2DqD3QxS133VKTQ2z,ok,12000,rounded,,André Ventura,200,channel,archive,https://web.archive.org/web/20260118110433/https://www.whatsapp.com/channel/0029VaD2DqD3QxS133VKTQ2z
2026-01-18T11:55:30Z,pt-be,0029VaHrLkJEAKW5iusblX1K,ok,2500,rounded,,Bloco de Esquerda,200,channel,archive,https://web.archive.org/web/20260118115530/https://www.whatsapp.com/channel/0029VaHrLkJEAKW5iusblX1K
2026-01-18T13:45:04Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2400,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20260118134504/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2026-01-19T02:17:43Z,de-nw-cdu,0029VamylMu11ulWqPBc5S3T,ok,80,exact,,CDU Rüthen,200,channel,archive,https://web.archive.org/web/20260119021743/https://www.whatsapp.com/channel/0029VamylMu11ulWqPBc5S3T
2026-01-19T04:57:15Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,5700,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20260119045715/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
2026-01-20T08:24:39Z,it-ancora-italia,0029VaAwLQR96H4Uhpzpvw1e,ok,63,exact,,ANCORA ITALIA UFFICIALE,200,channel,archive,https://web.archive.org/web/20260120082439/https://www.whatsapp.com/channel/0029VaAwLQR96H4Uhpzpvw1e
2026-01-22T04:29:57Z,de-grune,0029VadW99X2kNFogn540h07,ok,28000,rounded,,BÜNDNIS 90/DIE GRÜNEN,200,channel,archive,https://web.archive.org/web/20260122042957/https://www.whatsapp.com/channel/0029VadW99X2kNFogn540h07
2026-01-22T04:39:46Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2400,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20260122043946/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2026-01-24T08:14:45Z,de-nw-grune,0029VbBv7Y9GZNCzTwFg7A3n,ok,432,exact,,GRÜNE NRW,200,channel,archive,https://web.archive.org/web/20260124081445/https://www.whatsapp.com/channel/0029VbBv7Y9GZNCzTwFg7A3n
2026-01-29T19:34:04Z,at-8-ovp-vorarlberg,0029Vb7gXVI5a23vgQukwz46,ok,185,exact,,Vorarlberger Volkspartei,200,channel,archive,https://web.archive.org/web/20260129193404/https://www.whatsapp.com/channel/0029Vb7gXVI5a23vgQukwz46
2026-01-30T04:03:42Z,nl-christenunie,0029VaPnmvj0gcfQd0YkS200,ok,1600,rounded,,ChristenUnie,200,channel,archive,https://web.archive.org/web/20260130040342/https://www.whatsapp.com/channel/0029VaPnmvj0gcfQd0YkS200
2026-01-30T09:00:26Z,nl-sgp,0029VaDLxdM7z4kfdsHvfS2K,ok,5800,rounded,,SGP,200,channel,archive,https://web.archive.org/web/20260130090026/https://www.whatsapp.com/channel/0029VaDLxdM7z4kfdsHvfS2K
2026-01-30T09:16:48Z,de-st-grune,0029VakBvxx0Vyc7cCq2sM1A,ok,1500,rounded,,DIE GRÜNEN Sachsen-Anhalt,200,channel,archive,https://web.archive.org/web/20260130091648/https://www.whatsapp.com/channel/0029VakBvxx0Vyc7cCq2sM1A
